,Unnamed: 0,id,depart,fromTaz,toTaz,route,cluster
0,0,0,0,1,1,450@574#0,0
1,1,6,0,1,2,19@467#0,1
2,2,12,0,10,10,537@456#0,0
3,3,13,0,10,12,537@456#0,0
4,4,20,0,10,8,537@456#0,0
5,5,24,0,12,12,320@39#0,1
6,6,26,0,12,14,320@39#0,1
7,7,30,0,12,7,362@363#0,0
8,8,31,0,12,8,650@460#0,0
9,9,36,0,13,13,643@365#0,0
10,10,38,0,13,15,470@515#0,0
11,11,48,0,14,14,201@558#0,0
12,12,52,0,14,7,341@498#0,0
13,13,58,0,15,13,470@515#0,0
14,14,60,0,15,15,581@468#0,0
15,15,62,0,15,6,581@468#0,0
16,16,64,0,15,8,470@515#0,0
17,17,66,0,2,1,19@467#0,1
18,18,82,0,6,15,581@468#0,0
19,19,84,0,6,6,432@433#0,0
20,20,101,0,8,12,650@460#0,0
21,21,7,1,1,6,450@574#0,0
22,22,21,1,10,9,537@456#0,0
23,23,23,1,12,10,537@456#0,0
24,24,25,0,12,13,465@445#0,0
25,25,32,1,12,9,537@456#0,0
26,26,40,0,13,6,470@515#0,0
27,27,42,1,13,8,643@365#0,0
28,28,46,1,14,12,320@39#0,1
29,29,72,1,2,2,19@467#0,1
30,30,80,1,6,13,470@515#0,0
31,31,86,1,6,8,470@515#0,0
32,32,90,1,7,12,362@363#0,0
33,33,92,1,7,14,341@498#0,0
34,34,104,1,8,15,470@515#0,0
35,35,9,0,1,8,640@520#0,0
36,36,10,0,1,9,642@520#0,0
37,37,35,0,13,12,465@445#0,0
38,38,50,0,14,2,536@461#0,0
39,39,70,0,2,14,536@461#0,0
40,40,76,0,2,9,620@630#0,0
41,41,77,2,6,1,450@574#0,0
42,42,96,2,7,7,341@498#0,0
43,43,100,2,8,10,537@456#0,0
44,44,102,2,8,13,643@365#0,0
45,45,106,2,8,6,470@515#0,0
46,46,109,2,8,9,537@456#0,0
47,47,110,0,9,1,642@520#0,0
48,48,111,2,9,10,537@456#0,0
49,49,41,1,13,7,465@445#0,0
50,50,108,3,8,8,643@365#0,0
51,51,112,3,9,12,537@456#0,0
52,52,119,3,9,8,537@456#0,0
53,53,120,3,9,9,537@456#0,0
54,54,91,1,7,13,465@445#0,0
55,55,116,1,9,2,620@630#0,0
56,56,15,0,10,14,409@93#0,1
57,57,17,0,10,2,34@36#0,2
58,58,45,0,14,10,409@93#0,1
59,59,67,1,2,10,34@36#0,2
60,60,99,1,8,1,640@520#0,0
61,61,87,1,6,9,640@520#0,0
62,62,53,0,14,8,456@409#0,0
63,63,60.1,13,15,15,581@468#0,0
64,64,75,0,2,8,34@33#0 33@537#0 537@456#0,3
65,65,54,0,14,9,456@409#0,0
66,66,117,2,9,6,640@520#0,0
67,67,28,0,12,2,456@33#0 33@34#0,4
68,68,68,0,2,12,34@33#0 33@537#0 537@456#0,3
69,69,103,1,8,14,456@409#0,0
70,70,114,2,9,14,456@409#0,0
71,71,82.1,18,6,15,581@468#0,0
72,72,104.1,18,8,15,515@470#0,0
73,73,105,1,8,2,456@33#0 33@34#0,4
74,74,116.1,17,9,2,630@620#0,0
75,75,72.1,19,2,2,19@467#0,1
76,76,120.1,20,9,9,537@456#0,0
77,77,47,0,14,13,312@512#0 512@364#0 364@363#0 363@568#0,5
78,78,73,1,2,6,516@642#0 642@520#0 520@641#0,6
79,79,66.1,22,2,1,19@467#0,1
80,80,111.1,22,9,10,537@456#0,0
81,81,70.1,21,2,14,536@461#0,0
82,82,110.1,22,9,1,642@520#0,0
83,83,37,0,13,14,513@363#0 363@364#0 364@512#0 512@475#0,5
84,84,60.2,25,15,15,581@468#0,0
85,85,119.1,26,9,8,537@456#0,0
86,86,57,0,15,12,47@365#0 365@511#0,7
87,87,97,0,7,8,617@615#0 615@614#0 614@613#0,6
88,88,38.1,27,13,15,470@515#0,0
89,89,19,0,10,7,409@78#0 78@325#0 325@540#0 540@541#0,8
90,90,27,0,12,15,511@365#0 365@619#0 619@47#0,9
91,91,76.1,27,2,9,620@630#0,0
92,92,48.1,29,14,14,201@558#0,0
93,93,114.1,19,9,14,456@409#0,0
94,94,64.1,32,15,8,515@470#0,0
95,95,112.1,33,9,12,537@456#0,0
96,96,89,0,7,10,448@325#0 325@78#0 78@409#0,10
