,speed,acc,lane,pos,speed_stability,acc_point,acc_avg_point,a*v
0,0,0,47@365#0,0,1.417112646,0,0,0
1,1.45595699,1.45595699,47@365#0,1.45595699,1.321175514,0,0,1
2,3.372368795,1.916411805,47@365#0,4.828325785,1.131213221,0,0,0.568268752
3,4.731757029,1.359388234,47@365#0,9.560082814,1.000759772,0,0,0.287290371
4,6.185594696,1.453837667,47@365#0,15.74567751,0.88856243,0,0,0.235036037
5,8.159321206,1.97372651,47@365#0,23.90499872,0.729422812,0,0,0.241898371
6,10.70346411,2.544142908,47@365#0,34.60846283,0.514309603,1,0,0.237693412
7,12.92244304,2.218978922,47@365#0,47.53090587,0.337550811,1,0,0.171715125
8,12.44609837,-0.476344662,47@365#0,59.97700424,0.365415766,0,0,0.038272609
9,13.00988919,0.563790821,47@365#0,72.98689344,0.383789216,0,0,0.043335559
10,12.80134125,-0.208547945,47@365#0,85.78823469,0.372012231,0,0,0.016291101
11,12.30475558,-0.496585665,47@365#0,98.09299027,0.337112474,0,0,0.040357215
12,12.28796671,-0.016788873,47@365#0,110.380957,0.371886751,0,0,0.001366286
13,12.34282046,0.054853747,47@365#0,122.7237774,0.425647085,0,0,0.004444183
14,12.01095622,-0.331864243,47@365#0,134.7347337,0.430429272,0,0,0.027630127
15,12.39328655,0.382330336,47@365#0,147.1280202,0.484684713,0,0,0.030849794
16,12.78629737,0.393010817,47@365#0,159.9143176,0.480608832,0,0,0.030736874
17,12.33490636,-0.451391005,47@365#0,172.2492239,0.442315094,0,0,0.036594603
18,13.08990057,0.754994203,47@365#0,185.3391245,0.383778166,0,0,0.057677612
19,12.34237524,-0.747525329,47@365#0,197.6814997,0.385609903,0,0,0.060565759
20,12.25159714,-0.090778094,47@365#0,209.9330969,0.401808415,0,0,0.007409491
21,12.39918523,0.14758809,47@365#0,222.3322821,0.402273716,0,0,0.011903047
22,12.03465359,-0.364531648,47@365#0,234.3669357,0.39375092,0,0,0.030290165
23,12.62711067,0.456199058,365@511#0,284.2461236,0.363289291,0,0,0.036128539
24,13.00679679,0.379686111,365@511#0,297.2529204,0.396490366,0,0,0.029191362
25,12.08191204,-0.924884745,365@511#0,309.3348325,0.325613225,0,0,0.07655119
26,12.43416405,0.352252007,365@511#0,321.7689965,0.303830646,0,0,0.028329368
27,12.50261767,0.068453619,365@511#0,334.2716142,0.298215048,0,0,0.005475143
28,12.33299274,-0.169624927,365@511#0,346.6046069,0.330289757,0,0,0.013753752
29,13.09883544,0.765842704,365@511#0,359.7034424,0.272048671,0,0,0.058466473
30,12.84607223,-0.252763211,365@511#0,372.5495146,0.273868414,0,0,0.019676303
31,12.99831333,0.152241101,365@511#0,385.5478279,0.305018966,0,0,0.011712374
32,12.71900965,-0.279303683,365@511#0,398.2668376,0.300337955,0,0,0.021959546
33,13.00685045,0.287840801,365@511#0,411.273688,0.278767562,0,0,0.022129939
34,12.29515359,-0.348387092,511@464#0,448.5661426,0.238689472,0,0,0.028335318
35,12.07904026,-0.21611333,511@464#0,460.6451829,0.27850272,0,0,0.017891598
36,12.21346648,0.134426221,511@464#0,472.8586494,0.280936375,0,0,0.011006394
37,12.20116884,-0.012297641,511@464#0,485.0598182,0.298010767,0,0,0.001007907
38,12.69154085,0.490372014,511@464#0,497.7513591,0.326008587,0,0,0.038637705
39,12.50810901,-0.183431847,511@464#0,510.2594681,0.396296358,0,0,0.014665034
40,12.77906965,0.270960641,511@464#0,523.0385377,0.385819458,0,0,0.021203472
41,12.31532303,-0.463746617,511@464#0,535.3538607,0.401372036,0,0,0.037656066
42,12.54781661,0.232493579,511@464#0,547.9016774,0.471094058,0,0,0.018528608
43,12.61995347,0.072136865,511@464#0,560.5216308,0.487135395,0,0,0.005716096
44,12.93086944,0.310915965,511@464#0,573.4525003,0.58275095,0,0,0.024044475
45,12.31662362,-0.614245815,511@464#0,585.7691239,0.607404468,0,0,0.049871282
46,12.47538639,0.15876277,511@464#0,598.2445103,0.626907804,0,0,0.01272608
47,12.65842795,0.183041559,511@464#0,610.9029382,1.026480825,0,0,0.014460055
48,11.88807774,-0.770350209,511@464#0,622.791016,0.982282508,0,0,0.064800233
49,12.77438731,0.886309565,511@464#0,635.5654033,0.947921462,0,0,0.069381767
50,12.60819568,-0.166191633,511@464#0,648.173599,1.103434967,0,0,0.013181238
51,11.98892328,-0.619272397,511@464#0,660.1625222,1.231070096,0,0,0.051653713
52,12.91863708,0.9297138,511@464#0,673.0811593,1.203402952,0,0,0.071966864
53,13.15118731,0.232550235,511@464#0,686.2323466,1.276916104,0,0,0.017682832
54,11.8841158,-1.267071516,511@464#0,698.1164624,1.202076573,0,0,0.106618914
55,12.74489679,0.860780995,511@464#0,710.8613592,1.130890177,0,0,0.067539268
56,12.39110066,-0.353796128,511@464#0,723.2524599,1.115006939,0,0,0.028552438
57,8.212328894,-4.178771769,511@464#0,731.4647888,0.766045681,-2,0,0.508841258
58,8.540695938,0.328367044,511@464#0,740.0054847,0.815967007,0,0,0.03844734
59,9.08339504,2.40475842,464@39#0,760.2853473,0.807872546,1,0,0.264742248
60,10.80472172,1.721326684,464@39#0,771.090069,0.664913694,0,0,0.159312449
61,12.70034541,1.89562369,464@39#0,783.7904144,0.557300751,0,0,0.149257648
62,12.04730305,-0.653042361,464@39#0,795.8377174,0.559273534,0,0,0.054206519
63,13.01498481,0.967681756,464@39#0,808.8527023,0.53121032,0,0,0.074351355
64,12.49630861,-0.518676201,464@39#0,821.3490109,0.529402171,0,0,0.041506353
